Distance,Angle
4.456752502470865,25.594595318654243
4.503068554217437,25.58572131843239
4.052996660652173,28.180934383312703
4.041391295983975,27.706607371454552
4.4745150846204425,25.23963530978024
4.462004828160049,25.612343319097945
4.448042726995487,25.603469318876094
4.540259067856816,25.257383310223943
4.592765118190835,24.911297301571793
4.507034105829123,25.72034332179792
4.553177351643493,25.365023312914914
4.520151822356376,25.23076130955839
4.504956726541637,25.248509310002092
4.931298938722005,22.772663248105957
4.97005523907858,22.825907249437037
4.950102468791309,22.781537248327787
4.957154014388187,22.93108125206639
4.947327656413625,22.799285248771483
5.09765754257044,24.21912528426749
5.081708349280604,23.51807926674134
5.033100377356366,24.565211292919642
